"","PROBEID","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","GENENAME"
"339","205478_at",-3.21467938524592,8.25024857909336,-11.2304791185294,5.61499345860159e-19,1.25118899238019e-14,32.4704855277406,"PPP1R1A","protein phosphatase 1 regulatory inhibitor subunit 1A"
"927","219140_s_at",-4.10827508936796,8.90062979917834,-10.9317330885499,2.3569923724291e-18,2.62604305174188e-14,31.0924694738444,"RBP4","retinol binding protein 4"
"1026","266_s_at",3.96259423432299,8.99250661011523,10.7883160299558,4.70248586015025e-18,3.49284974739093e-14,30.4285530558585,"CD24","CD24 molecule"
"1022","222317_at",-3.7729806091498,6.88542463681716,-10.5705540044014,1.34515449023457e-17,7.49351937647422e-14,29.4178176051329,"PDE3B","phosphodiesterase 3B"
"87","201650_at",4.7424110820737,8.23209548116725,10.3951924983926,3.14126503967395e-17,1.39993617758109e-13,28.6017828399312,"KRT19","keratin 19"
"101","201839_s_at",2.39216439715189,9.88426363697331,10.3040251899287,4.88462535168004e-17,1.81406844519144e-13,28.1768774111778,"EPCAM","epithelial cell adhesion molecule"
"573","210964_s_at",-2.30772500803535,9.50871424689878,-10.1011966790824,1.30583009508206e-16,4.15683028695906e-13,27.2301149795992,"GYG2","glycogenin 2"
"972","221009_s_at",-2.14139985418721,7.32045175660784,-10.0220778109726,1.9170566061909e-16,5.33972154446898e-13,26.8603273519401,"ANGPTL4","angiopoietin like 4"
"932","219295_s_at",-2.5530184628459,9.88787617725725,-9.89232521463222,3.59965844291817e-16,8.91235434261618e-13,26.2533914314066,"PCOLCE2","procollagen C-endopeptidase enhancer 2"
"1041","43427_at",-3.01763108351034,9.432796427588,-9.68499272052447,9.85869342563989e-16,2.19681265603534e-12,25.2825181821645,"ACACB","acetyl-CoA carboxylase beta"
"137","202286_s_at",2.65559897849476,10.2965011329423,9.6067209382107,1.44237852199254e-15,2.77641537429613e-12,24.915737703955,"TACSTD2","tumor associated calcium signal transducer 2"
"326","205220_at",-1.62550993566098,9.01976521875604,-9.59932696434436,1.49517499849901e-15,2.77641537429613e-12,24.8810839119701,"HCAR3","hydroxycarboxylic acid receptor 3"
"664","212741_at",-2.70914503713761,9.80962934243698,-9.4874996370847,2.57538622862302e-15,4.41441010249282e-12,24.3568783826218,"MAOA","monoamine oxidase A"
"347","205610_at",-1.66852498732493,8.61975047421146,-9.32690892266019,5.62330055975286e-15,8.95028616949807e-12,23.6038787247273,"MYOM1","myomesin 1"
"187","202988_s_at",2.34231225656954,7.65505787552182,9.26644561870629,7.54523607752123e-15,1.04383478349531e-11,23.3203475315567,"RGS1","regulator of G protein signaling 1"
"280","204388_s_at",-2.03442884007937,9.31281838492166,-9.25534778839727,7.96355576871169e-15,1.04383478349531e-11,23.2683067765942,"MAOA","monoamine oxidase A"
"746","214456_x_at",-3.47344891672004,9.44688665191021,-9.2697811988676,7.42385236682178e-15,1.04383478349531e-11,23.3359890290335,"SAA2","serum amyloid A2"
"747","214456_x_at",-3.47344891672004,9.44688665191021,-9.2697811988676,7.42385236682178e-15,1.04383478349531e-11,23.3359890290335,"SAA1","serum amyloid A1"
"547","210298_x_at",-1.96987452470768,7.8503312937804,-9.21222729474247,9.82099267202106e-15,1.15179568268761e-11,23.0661068453857,"FHL1","four and a half LIM domains 1"
"873","218087_s_at",-3.12302957287638,9.65320351836833,-9.21784130853033,9.55656801654177e-15,1.15179568268761e-11,23.0924315438061,"SORBS1","sorbin and SH3 domain containing 1"
"530","209771_x_at",1.84986326681165,11.1925764902711,9.16463807976952,1.23773740760998e-14,1.37902513268866e-11,22.8429636623724,"CD24","CD24 molecule"
"937","219398_at",-1.41702724112694,11.3483539899227,-9.1520077405811,1.3161100009832e-14,1.39651805485279e-11,22.78374349485,"CIDEC","cell death inducing DFFA like effector c"
"435","208510_s_at",-1.994480951549,8.03787791499882,-9.06349623824251,2.02355648920125e-14,1.96047431516832e-11,22.3687838089168,"PPARG","peroxisome proliferator activated receptor gamma"
"876","218168_s_at",-1.99359476839873,8.91614861830195,-9.0667428386712,1.99188270309856e-14,1.96047431516832e-11,22.3840028163008,"COQ8A","coenzyme Q8A"
"403","207092_at",-3.04434558790741,9.37366042595641,-9.0245312501974,2.44533856573559e-14,2.17957917041144e-11,22.1861409133071,"LEP","leptin"
"1045","49452_at",-2.1339579915055,10.6026507788493,-9.02787292603257,2.40595760438994e-14,2.17957917041144e-11,22.2018036099075,"ACACB","acetyl-CoA carboxylase beta"
"333","205382_s_at",-3.43998034070363,9.98153043426837,-9.00548398210817,2.68242232049861e-14,2.29893909875656e-11,22.0968684945656,"CFD","complement factor D"
"51","201286_at",2.04802229246004,8.46250570710181,8.9678742079366,3.22010203173118e-14,2.56262619903807e-11,21.9206151144997,"SDC1","syndecan 1"
"805","215695_s_at",-2.42769807404817,10.1494683828644,-8.96817653096498,3.21537703901825e-14,2.56262619903807e-11,21.9220318030068,"GYG2","glycogenin 2"
"40","201131_s_at",2.38607802038115,9.41914287991534,8.94036668926183,3.68035937628081e-14,2.71769564256323e-11,21.7917225880698,"CDH1","cadherin 1"
